DATE,GDP
1999-01-01,9630.6625000000000000
2000-01-01,10252.3465000000000000
2001-01-01,10581.8222500000000000
2002-01-01,10936.4182500000000000
2003-01-01,11458.2457500000000000
2004-01-01,12213.7302500000000000
2005-01-01,13036.637000000000
2006-01-01,13814.609000000000
2007-01-01,14451.859000000000
2008-01-01,14712.845000000000
2009-01-01,14448.932500000000
2010-01-01,14992.052000000000
2011-01-01,15542.581750000000
2012-01-01,16197.007250000000
2013-01-01,16784.850500000000
2014-01-01,17527.258250000000
2015-01-01,18224.780250000000
2016-01-01,18715.040500000000
2017-01-01,19519.423500000000
2018-01-01,20580.223000000000
